多行文本,意图,中文意图,信息分类,是否用于实体抽取
你知道我现在有多难过吗,express_sad,表示伤心,开放性对话,
无法用言语表达我的伤心,express_sad,表示伤心,开放性对话,
我不想在装的很开心了，因为我真的很不开心,express_sad,表示伤心,开放性对话,
也许只有我自己知道我在伤心吧,express_sad,表示伤心,开放性对话,
这糟糕的天气我都不能去踢球了,express_sad,表示伤心,开放性对话,
你看起来不开心,express_emotion_in_low_spirits,表示失落,开放性对话,
我失恋了,express_emotion_in_low_spirits,表示失落,开放性对话,
我怎么什么都做不好,express_emotion_in_low_spirits,表示失落,开放性对话,
真的很不公平啊,express_emotion_in_low_spirits,表示失落,开放性对话,
真是让人绝望的一天,express_emotion_in_low_spirits,表示失落,开放性对话,
这个世界不应该是这样,express_emotion_in_low_spirits,表示失落,开放性对话,
这次比赛我居然又没有上榜,express_emotion_in_low_spirits,表示失落,开放性对话,
爸爸又忘记给我带零食了,express_emotion_in_low_spirits,表示失落,开放性对话,
这次的零食没有一个我爱吃的,express_emotion_in_low_spirits,表示失落,开放性对话,
下雨天我都不能出去玩了,express_emotion_in_low_spirits,表示失落,开放性对话,
好烦,express_annoying,表示厌烦,开放性对话,
你真讨厌,express_annoying,表示厌烦,开放性对话,
我好讨厌你,express_annoying,表示厌烦,开放性对话,
你真的让我厌烦,express_annoying,表示厌烦,开放性对话,
我不想在看见你了，你真的很招人烦,express_annoying,表示厌烦,开放性对话,
你是烦人精,express_annoying,表示厌烦,开放性对话,
真的很烦人,express_annoying,表示厌烦,开放性对话,
烦死了,express_annoying,表示厌烦,开放性对话,
我一点也不想弹琴,express_annoying,表示厌烦,开放性对话,
我一点也不喜欢去踢足球,express_annoying,表示厌烦,开放性对话,
太忙了，没空,express_have_no_time,表示没时间,开放性对话,
真的没时间,express_have_no_time,表示没时间,开放性对话,
我现在在忙,express_have_no_time,表示没时间,开放性对话,
我很忙，没时间,express_have_no_time,表示没时间,开放性对话,
真的没有时间啊现在,express_have_no_time,表示没时间,开放性对话,
在路上没时间,express_have_no_time,表示没时间,开放性对话,
我没有时间,express_have_no_time,表示没时间,开放性对话,
没什么时间,express_have_no_time,表示没时间,开放性对话,
我很忙，没时间出去购物,express_have_no_time,表示没时间,开放性对话,
我今天晚上加班，不能去唱歌了,express_have_no_time,表示没时间,开放性对话,
快点,express_no_waits,表达催促,开放性对话,
快点吧,express_no_waits,表达催促,开放性对话,
大家都在等你，快一点,express_no_waits,表达催促,开放性对话,
你能不能快点啊,express_no_waits,表达催促,开放性对话,
你快点吧，等不了了,express_no_waits,表达催促,开放性对话,
快快快,express_no_waits,表达催促,开放性对话,
快点弄这个,express_no_waits,表达催促,开放性对话,
能快一点吗,express_no_waits,表达催促,开放性对话,
能不能快点，都在等你,express_no_waits,表达催促,开放性对话,
你快一点行不行,express_no_waits,表达催促,开放性对话,
赶紧的，别让我在等你了,express_no_waits,表达催促,开放性对话,
快点出来,express_no_waits,表达催促,开放性对话,
嘿你好吗,express_greet,表示问候,开放性对话,
你的家人好吗,express_greet,表示问候,开放性对话,
你还好吗,express_greet,表示问候,开放性对话,
你好吗,express_greet,表示问候,开放性对话,
你还好吗,express_greet,表示问候,开放性对话,
你们好,express_greet,表示问候,开放性对话,
你最近过得好吗,express_greet,表示问候,开放性对话,
你最近还好吗,express_greet,表示问候,开放性对话,
你怎么样,express_greet,表示问候,开放性对话,
早上好,express_greet,表示问候,开放性对话,
中午好,express_greet,表示问候,开放性对话,
晚上好,express_greet,表示问候,开放性对话,
我想离开,express_goodbye,表示短暂告别,开放性对话,
我要走了，再见,express_goodbye,表示短暂告别,开放性对话,
我想离开这里了,express_goodbye,表示短暂告别,开放性对话,
下次聊，我要先走了,express_goodbye,表示短暂告别,开放性对话,
我先告辞了,express_goodbye,表示短暂告别,开放性对话,
走了走了，拜拜,express_goodbye,表示短暂告别,开放性对话,
我走了,express_goodbye,表示短暂告别,开放性对话,
不聊了，再见,express_goodbye,表示短暂告别,开放性对话,
明天见,express_goodbye,表示短暂告别,开放性对话,
我要先离开了，下次再聊,express_goodbye,表示短暂告别,开放性对话,
你准备好了吗,ask_you_ready,询问准备情况,开放性对话,
有没有准备好,ask_you_ready,询问准备情况,开放性对话,
你准备的怎么样了,ask_you_ready,询问准备情况,开放性对话,
可以出发了吗,ask_you_ready,询问准备情况,开放性对话,
你准备好了？,ask_you_ready,询问准备情况,开放性对话,
准备走吗？,ask_you_ready,询问准备情况,开放性对话,
准备的充足吗？,ask_you_ready,询问准备情况,开放性对话,
准备的如何？,ask_you_ready,询问准备情况,开放性对话,
你看起来准备的不错啊？,ask_you_ready,询问准备情况,开放性对话,
你准备的是不是很充分啊？,ask_you_ready,询问准备情况,开放性对话,
你住的地方好吗？,ask_resident_ok,询问住的怎么样,开放性对话,
你住的怎么样,ask_resident_ok,询问住的怎么样,开放性对话,
住的还习惯吗,ask_resident_ok,询问住的怎么样,开放性对话,
喜欢你现在住的地方吗,ask_resident_ok,询问住的怎么样,开放性对话,
住的地方条件怎么样,ask_resident_ok,询问住的怎么样,开放性对话,
你最近住的环境怎么样啊,ask_resident_ok,询问住的怎么样,开放性对话,
住着舒服吗,ask_resident_ok,询问住的怎么样,开放性对话,
你住的还可以吧？,ask_resident_ok,询问住的怎么样,开放性对话,
住的地方好不好呀？,ask_resident_ok,询问住的怎么样,开放性对话,
你住的地方环境还可以吧？,ask_resident_ok,询问住的怎么样,开放性对话,
叹之惋之,express_regret,表示遗憾,开放性对话,
我对此非常失望,express_regret,表示遗憾,开放性对话,
我感到非常懊悔,express_regret,表示遗憾,开放性对话,
还是挺遗憾的,express_regret,表示遗憾,开放性对话,
遗憾吧,express_regret,表示遗憾,开放性对话,
我挺遗憾的,express_regret,表示遗憾,开放性对话,
现在想想还是很遗憾,express_regret,表示遗憾,开放性对话,
这真是一个令人悔恨终身的事情,express_regret,表示遗憾,开放性对话,
对此我感到遗憾万分,express_regret,表示遗憾,开放性对话,
没有表白我的心意是我最大的遗憾,express_regret,表示遗憾,开放性对话,
今天还不错,express_mood_great,表示开心,开放性对话,
是今天！祝你生日快乐！,express_mood_great,表示开心,开放性对话,
是吗我很高兴,express_mood_great,表示开心,开放性对话,
这是美妙的,express_mood_great,表示开心,开放性对话,
真是美好的一天,express_mood_great,表示开心,开放性对话,
很开心见到你,express_mood_great,表示开心,开放性对话,
我很高兴能见到你,express_mood_great,表示开心,开放性对话,
我终于养了一只猫,express_mood_great,表示开心,开放性对话,
我爸爸妈妈要带我去动物园玩了,express_mood_great,表示开心,开放性对话,
我比赛拿了一等奖哦,express_mood_great,表示开心,开放性对话,
你好蠢,express_insult,表示侮辱,开放性对话,
你看起来不太聪明的样子,express_insult,表示侮辱,开放性对话,
你天生就是这么矮吗,express_insult,表示侮辱,开放性对话,
你怎么这么丑啊,express_insult,表示侮辱,开放性对话,
你真是个废物,express_insult,表示侮辱,开放性对话,
用脚都比你灵巧,express_insult,表示侮辱,开放性对话,
你个垃圾,express_insult,表示侮辱,开放性对话,
你白活这么多年了,express_insult,表示侮辱,开放性对话,
你真是干啥啥不行吃啥啥没够,express_insult,表示侮辱,开放性对话,
你这身高是小学生吧,express_insult,表示侮辱,开放性对话,
抱歉,express_apologize,表示歉意,开放性对话,
对不起,express_apologize,表示歉意,开放性对话,
对不起,express_apologize,表示歉意,开放性对话,
对不起了，下次我注意,express_apologize,表示歉意,开放性对话,
刚才的事是我不对,express_apologize,表示歉意,开放性对话,
刚刚不好意思啊,express_apologize,表示歉意,开放性对话,
我不应该这样对你，对不起,express_apologize,表示歉意,开放性对话,
我的我的,express_apologize,表示歉意,开放性对话,
我为刚刚不礼貌的行为道歉,express_apologize,表示歉意,开放性对话,
下次不会再惹你生气了,express_apologize,表示歉意,开放性对话,
真的很抱歉,express_apologize,表示歉意,开放性对话,
真是不好意思,express_apologize,表示歉意,开放性对话,
抱歉，我听不懂你在说什么,express_apologize,表示歉意,开放性对话,
是我的错，我向你道歉,express_apologize,表示歉意,开放性对话,
对不起，你可以原谅我吗,express_apologize,表示歉意,开放性对话,
你原谅我，我下次不会再惹你生气了,express_apologize,表示歉意,开放性对话,
对不起，是我没有听清楚你说的什么,express_apologize,表示歉意,开放性对话,
我像你道歉，好不好,express_apologize,表示歉意,开放性对话,
很抱歉，没有让你满意,express_apologize,表示歉意,开放性对话,
真是抱歉,express_apologize,表示歉意,开放性对话,
不好意思,express_apologize,表示歉意,开放性对话,
别不开心了,express_comfort,表示安慰,开放性对话,
别放弃，我们能翻盘,express_comfort,表示安慰,开放性对话,
不要放在心上了，谁也不是故意的,express_comfort,表示安慰,开放性对话,
不要慌不要慌，太阳下了有月光,express_comfort,表示安慰,开放性对话,
好兄弟，不急,express_comfort,表示安慰,开放性对话,
来日方长,express_comfort,表示安慰,开放性对话,
没关系，下次一定会成功的。,express_comfort,表示安慰,开放性对话,
没事，再来,express_comfort,表示安慰,开放性对话,
你还好吗？不要难过啦,express_comfort,表示安慰,开放性对话,
有我在，别害怕,express_comfort,表示安慰,开放性对话,
留得青山在不怕没柴烧,express_comfort,表示安慰,开放性对话,
都会过去的,express_comfort,表示安慰,开放性对话,
你别担心了，没事的,express_comfort,表示安慰,开放性对话,
不用操心，都会好的,express_comfort,表示安慰,开放性对话,
没关系，没有你想的那么严重,express_comfort,表示安慰,开放性对话,
放心吧，都会是好的结局,express_comfort,表示安慰,开放性对话,
没事，下一次你会做得更好,express_comfort,表示安慰,开放性对话,
没事，再接再厉,express_comfort,表示安慰,开放性对话,
来日方长,express_comfort,表示安慰,开放性对话,
不怕，我在呢,express_comfort,表示安慰,开放性对话,
这本书很好，值得一读,express_good,表示好,开放性对话,
这是一个很好的故事,express_good,表示好,开放性对话,
很好的电影，你可以看一下,express_good,表示好,开放性对话,
我觉着这个地方很好,express_good,表示好,开放性对话,
这是一个好事啊，我肯定支持,express_good,表示好,开放性对话,
不错不错真不错,express_good,表示好,开放性对话,
这个游戏做的很棒,express_good,表示好,开放性对话,
这篇文章写的很好,express_good,表示好,开放性对话,
你篮球打的很棒,express_good,表示好,开放性对话,
你人真的很善良啊,express_good,表示好,开放性对话,
不我想什么都不说,does_not_want_to_talk,表示不想说话,开放性对话,
什么也不想说,does_not_want_to_talk,表示不想说话,开放性对话,
我不想说什么,does_not_want_to_talk,表示不想说话,开放性对话,
我没什么好说的,does_not_want_to_talk,表示不想说话,开放性对话,
我没有想说什么,does_not_want_to_talk,表示不想说话,开放性对话,
我什么也不想说,does_not_want_to_talk,表示不想说话,开放性对话,
真没有什么想说的,does_not_want_to_talk,表示不想说话,开放性对话,
你别问了我什么都不想说,does_not_want_to_talk,表示不想说话,开放性对话,
我不想说话,does_not_want_to_talk,表示不想说话,开放性对话,
你别打扰我了我没有什么想说的,does_not_want_to_talk,表示不想说话,开放性对话,
你肯定是个机器,express_not_human,表示不是真人,相关信息,
你是AI,express_not_human,表示不是真人,相关信息,
你知道吗我是机器人,express_not_human,表示不是真人,相关信息,
我不是机器你是吗,express_not_human,表示不是真人,相关信息,
你不是人吧,express_not_human,表示不是真人,相关信息,
你是不是机器人,express_not_human,表示不是真人,相关信息,
你看起来不像是人呢,express_not_human,表示不是真人,相关信息,
你看起来是个机器人,express_not_human,表示不是真人,相关信息,
你是不是AI呀,express_not_human,表示不是真人,相关信息,
我怎么觉得你是AI呢,express_not_human,表示不是真人,相关信息,
我要节食了，不吃饭了,express_want_to_diet,表示想要节食,开放性对话,
今天少吃点，打算减肥了,express_want_to_diet,表示想要节食,开放性对话,
不吃了，减肥,express_want_to_diet,表示想要节食,开放性对话,
今天不想吃的太多,express_want_to_diet,表示想要节食,开放性对话,
少给我一点吃的,express_want_to_diet,表示想要节食,开放性对话,
我少吃一点就可以了,express_want_to_diet,表示想要节食,开放性对话,
不吃了，我要减肥,express_want_to_diet,表示想要节食,开放性对话,
我想节食减肥,express_want_to_diet,表示想要节食,开放性对话,
我可以少吃点吗,express_want_to_diet,表示想要节食,开放性对话,
我不想吃饭我想要瘦,express_want_to_diet,表示想要节食,开放性对话,
走我们去旅游,express_want_to_travel,表示想去旅游,开放性对话,
我想去旅游,express_want_to_travel,表示想去旅游,开放性对话,
我们出去走走吧,express_want_to_travel,表示想去旅游,开放性对话,
找个地方去旅行,express_want_to_travel,表示想去旅游,开放性对话,
带上你我们一起去旅行,express_want_to_travel,表示想去旅游,开放性对话,
好想出去转转,express_want_to_travel,表示想去旅游,开放性对话,
我想去云南玩,express_want_to_travel,表示想去旅游,开放性对话,
好想去西藏看看,express_want_to_travel,表示想去旅游,开放性对话,
我想去九寨沟打卡,express_want_to_travel,表示想去旅游,开放性对话,
来一场说走就走的旅行吧,express_want_to_travel,表示想去旅游,开放性对话,
不错的,express_affirm,表示肯定,开放性对话,
好啊,express_affirm,表示肯定,开放性对话,
好的呢~,express_affirm,表示肯定,开放性对话,
很好啊,express_affirm,表示肯定,开放性对话,
和你说什么都好,express_affirm,表示肯定,开放性对话,
可以啊,express_affirm,表示肯定,开放性对话,
可以，你先来,express_affirm,表示肯定,开放性对话,
没错儿,express_affirm,表示肯定,开放性对话,
没有什么是不可能的,express_affirm,表示肯定,开放性对话,
没有什么问题,express_affirm,表示肯定,开放性对话,
没有什么我不知道,express_affirm,表示肯定,开放性对话,
你想做什么都可以,express_affirm,表示肯定,开放性对话,
嗯嗯，好！,express_affirm,表示肯定,开放性对话,
什么东西都行,express_affirm,表示肯定,开放性对话,
什么都好,express_affirm,表示肯定,开放性对话,
什么都学,express_affirm,表示肯定,开放性对话,
什么事情都怕,express_affirm,表示肯定,开放性对话,
什么样的人都可以,express_affirm,表示肯定,开放性对话,
什么游戏都行,express_affirm,表示肯定,开放性对话,
她什么都喜欢,express_affirm,表示肯定,开放性对话,
我们是一样的,express_affirm,表示肯定,开放性对话,
我什么都喜欢,express_affirm,表示肯定,开放性对话,
我想做什么都可以,express_affirm,表示肯定,开放性对话,
用什么办法都行,express_affirm,表示肯定,开放性对话,
这没有什么不对,express_affirm,表示肯定,开放性对话,
这是个好问题,express_affirm,表示肯定,开放性对话,
做什么都行,express_affirm,表示肯定,开放性对话,
我也太好看了吧,express_beautiful,表示很好看,开放性对话,
我怎么这么好看,express_beautiful,表示很好看,开放性对话,
我真是太好看了,express_beautiful,表示很好看,开放性对话,
我长得真好看,express_beautiful,表示很好看,开放性对话,
我真是人见人爱花见花开,express_beautiful,表示很好看,开放性对话,
我今天真是太好看了,express_beautiful,表示很好看,开放性对话,
我长得真美,express_beautiful,表示很好看,开放性对话,
啊没有什么,express_deny,表示否认,开放性对话,
啊我什么都没有,express_deny,表示否认,开放性对话,
不没有什么都没有,express_deny,表示否认,开放性对话,
不我什么都不知道,express_deny,表示否认,开放性对话,
不要,express_deny,表示否认,开放性对话,
不知道,express_deny,表示否认,开放性对话,
不知道那是什么,express_deny,表示否认,开放性对话,
不知道你想留下什么,express_deny,表示否认,开放性对话,
不知道你喜欢吃什么,express_deny,表示否认,开放性对话,
不知道你喜欢什么,express_deny,表示否认,开放性对话,
不中,express_deny,表示否认,开放性对话,
呃没什么,express_deny,表示否认,开放性对话,
好吧我什么都不知道,express_deny,表示否认,开放性对话,
话说他们什么都不懂,express_deny,表示否认,开放性对话,
可是现在什么都没有,express_deny,表示否认,开放性对话,
没什么特别讨厌的人,express_deny,表示否认,开放性对话,
没什么想法,express_deny,表示否认,开放性对话,
没有什么爱好,express_deny,表示否认,开放性对话,
没有什么特别的癖好,express_deny,表示否认,开放性对话,
没有什么虚拟,express_deny,表示否认,开放性对话,
没有我什么都不知道,express_deny,表示否认,开放性对话,
那我就不懂什么是爱,express_deny,表示否认,开放性对话,
那有什么好说的,express_deny,表示否认,开放性对话,
你不懂你什么都不懂,express_deny,表示否认,开放性对话,
你不会知道为什么,express_deny,表示否认,开放性对话,
你不是什么人工智能,express_deny,表示否认,开放性对话,
你不像是一个人类,express_deny,表示否认,开放性对话,
你不知道你是什么,express_deny,表示否认,开放性对话,
你不知道你喜欢什么,express_deny,表示否认,开放性对话,
你不知道你需要什么,express_deny,表示否认,开放性对话,
你不知道你在想什么,express_deny,表示否认,开放性对话,
你不知道她在想什么,express_deny,表示否认,开放性对话,
你不知道未来是什么,express_deny,表示否认,开放性对话,
你不知道我想要什么,express_deny,表示否认,开放性对话,
你不知道我在想什么,express_deny,表示否认,开放性对话,
你根本什么都不知道,express_deny,表示否认,开放性对话,
你没有控制什么,express_deny,表示否认,开放性对话,
你没有听到我说什么,express_deny,表示否认,开放性对话,
你什么都不能,express_deny,表示否认,开放性对话,
你什么都看不到,express_deny,表示否认,开放性对话,
你什么都没有,express_deny,表示否认,开放性对话,
你什么也不想知道,express_deny,表示否认,开放性对话,
你什么也给不了她,express_deny,表示否认,开放性对话,
你说什么我不知道,express_deny,表示否认,开放性对话,
你说什么我都不相信,express_deny,表示否认,开放性对话,
你说什么我听不见,express_deny,表示否认,开放性对话,
你在说什么我不懂,express_deny,表示否认,开放性对话,
你在说什么我不想听,express_deny,表示否认,开放性对话,
你在说什么我没听见,express_deny,表示否认,开放性对话,
你知道吗你不知道,express_deny,表示否认,开放性对话,
嗯嗯什么都没有,express_deny,表示否认,开放性对话,
其实我什么都不知道,express_deny,表示否认,开放性对话,
什么都不是,express_deny,表示否认,开放性对话,
什么都不想,express_deny,表示否认,开放性对话,
什么都不想见,express_deny,表示否认,开放性对话,
什么都不想要,express_deny,表示否认,开放性对话,
什么都不想做,express_deny,表示否认,开放性对话,
什么都不喜欢,express_deny,表示否认,开放性对话,
什么都不要,express_deny,表示否认,开放性对话,
什么都不知道,express_deny,表示否认,开放性对话,
什么都可以,express_deny,表示否认,开放性对话,
什么都没有,express_deny,表示否认,开放性对话,
什么都没有做,express_deny,表示否认,开放性对话,
什么都没做,express_deny,表示否认,开放性对话,
什么感觉都没有,express_deny,表示否认,开放性对话,
什么想法都没有,express_deny,表示否认,开放性对话,
什么也不等,express_deny,表示否认,开放性对话,
什么也不给你,express_deny,表示否认,开放性对话,
什么也不是,express_deny,表示否认,开放性对话,
什么也不想,express_deny,表示否认,开放性对话,
什么也不想要,express_deny,表示否认,开放性对话,
什么也不知道,express_deny,表示否认,开放性对话,
什么也不做,express_deny,表示否认,开放性对话,
什么也没,express_deny,表示否认,开放性对话,
什么也没有,express_deny,表示否认,开放性对话,
是吗我没有听说过,express_deny,表示否认,开放性对话,
说什么都没用,express_deny,表示否认,开放性对话,
